seconds	hex
0.000877	00
6.675673	f8
7.497928	a5 01 00 21 00 00 00 0c 65 ce 11 11
7.695876	a5 01 01 21 01 00 00 42 af fe 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 1a 00 05 00 00 0c 00 00 0d 00
7.696045	00 0e 08 00 11 08 00 12 01 00 df 00
7.696515	00 c9 00 00 17 00 00 1e 01 02 27
7.702085	00 00 00 4f 01 48 01
7.895867	a5 01 01 21 02 00 00 54 bd ac 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 d0 00 39 12 02 03 07 08 09
7.896334	0b 15 17 1c 1f 21 22 23 24 27 28
7.896522	2a 31 00 5e 00 00 13 00 00 72 00
7.902540	00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
8.091881	a5 01 01 21 03 00 00 3c f1 c7 0c 0c 00 a4 00 00 bd
8.098144	00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
10.285644	a5 01 00 23 00 01 00 d3 fb 1f 80 00 01 70 6b 00 10 6e 6e 32 6f 6f 61
10.291668	61 63 73 77 7a 36 75 79 69 30 70 73 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36 75 79 69 30 76 73 00 4b 7b 22 4d 43 55 22 3a 5b 22 41 43 4d 43 55 2f 56 39 2d 52 31 30 46 54 32 37 41 43 2d 46 56 30 30
10.299006	31 2e 30 30 31 2e 30 33 30 22 5d 2c 22 53 4e 22 3a 22 31 31 31 32 30 31 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 22 7d 73 72 00 03 61 70 70 73 64 00 10 74 63 6c 5f 41 43 5f 74 2a 61 70 5f 73 7a 6b 74 70 77 00 20 62 5c 66
10.304698	79 68 44 42 6d 39 6b 66 5c 66 6f 43 56 62 24 45 56 53 42 2c 75 62 55 4c 56 6e 5f 35 46 6d 74 00 04 00 00 00 c8 6d 6c 00 04 00 00 ff ff
10.495050	a5 01 01 21 04 00 00 42 87 00 0c 0c 00 01 00 00 02 00
10.495407	00
10.495849	0a 28 00 03 00 00 09 24 00 05
10.501635	00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
10.696160	a5 01 01 21 05 00 00 54 5a 07 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 d0
10.701682	00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
10.895527	a5 01 01 21 06 00 00 3c 3c 7e 0c 0c 00 a4 00 00 bd 00 00 00 00
10.896345	00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00
10.896631	02 21 00 00 06 40 02 22 00 00 0c
10.902226	1c 02 24 00 02 25 00
