seconds	hex
13.553534	00
13.570289	00
14.352176	a5 01 00 21 00 00 00 0c 65 ce 11 11
14.548560	a5 01 01 21 01 00 00 42 60 28 0c 0c 00 01 00 00 02 00 00 0a
14.554201	28 00 03 00 00 09 a6 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
14.750877	a5 01 01 21 02 00 00 54 f1 5f 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21
14.751009	22 23 24 27 28 2a 31 00 5e 00 00
14.758057	13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
14.946028	a5 01 01 21 03 00 00 3c f1 c7 0c 0c
14.951927	00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
17.140190	a5 01 01 21 04 00
17.140408	00 42 5a 0d 0c 0c 00 01 00 00 02
17.147128	00 00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
17.339826	a5 01 01 21 05 00 00 54 16 f4 0c
17.339932	0c 00 22 00 00 25 01 00 27 00 00
17.345590	2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95
17.351776	00 00 00 00 00 15 00
17.538634	a5 01 01 21 06 00 00
17.538931	3c
17.539490	3c 7e 0c 0c 00 a4 00 00 bd 00
17.545170	00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
24.320978	a5 01 01 21 07 00 00 42 87 fd 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09
24.321301	b0 00 05 00 00 0c 00 00 0d 00 00
24.326911	0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
24.520410	a5 01 01 21 08 00 00 54 7c 0a 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00
24.526129	5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
24.717102	a5 01 01 21 09
24.722713	00 00 3c 7a 94 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
26.911193	a5 01 01 21 0a 00 00 42 7b
26.917251	11 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
27.110417	a5 01 01 21 0b
27.116339	00 00 54 c9 83 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73
27.123976	01 00 74 06 00 95 00 00 00 00 00 15 00
27.311066	a5 01 01 21 0c 00 00 3c b7 2d 0c 0c 00 a4 00 00 bd 00 00 00 00
27.316753	00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
34.289974	a5 01 01 21 0d 00 00 42 6b 9f 0c 0c 00 01
34.296077	00 00 02 00 00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
34.489993	a5 01 01 21 0e 00 00 54 07 39 0c 0c 00 22 00 00 25 01 00
34.495952	27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
34.690129	a5 01 01 21 0f 00 00 3c 03 a5 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00
34.695877	00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
34.889930	a5 01 00 21 00 00 00 0c bf 78 26 26
35.090457	a5 01 00 21 00 00 00 0c 46 de 10 10
35.291004	a5 01 00 21 00 00 00 0c d3 7d 0c 0c
36.888619	a5 01 01 21 10 00 00 42 92 e8 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
37.083669	a5 01 01 21 11 00 00 54 1c 7f 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35
37.089788	00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
37.285265	a5 01 01 21 12 00 00 3c 3a f9 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c
37.290655	1c 02 24 00 02 25 00
44.264998	a5 01 01 21 13 00 00 42 4f 18 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01
44.270703	02 27 00 00 00 4f 01 48 01
44.460361	a5 01 01 21 14 00 00
44.466041	54 d2 c5 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00
44.471698	74 06 00 95 00 00 00 00 00 15 00
44.663076	a5 01 01 21 15 00 00 3c df af 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06
44.669067	40 02 22 00 00 0c 1c 02 24 00 02 25 00
46.853980	a5 01 01 21 16 00 00 42 39 29 0c 0c 00 01 00 00 02 00
46.859535	00 0a 28 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
47.052711	a5 01
47.058455	01 21 17 00 00 54 67 4c 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00
47.065008	00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
47.254540	a5 01 01 21 18 00 00 3c b1 aa 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00
47.260020	00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
54.233184	a5 01 01 21 19 00 00 42 a3 7a 0c 0c 00 01 00 00 02 00 00 0a 28 00 03
54.238752	00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
54.433710	a5 01 01 21 1a 00 00 54 0d b2 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00
54.433812	38 00 00 5c 00 00 08 fc 00 39 12
54.439761	02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
54.633960	a5 01 01 21 1b 00 00 3c 05 22 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00
54.639687	06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
55.428472	a5 01 01 21 1c 00 00
