seconds	hex
0.000487	a5 01 01 21 8a 00 00 12 97 c2 0c 0c 00 60 00 00 07 6c
3.332671	a5 01 01 23 00 55 00 0c fc 1b 80 0a
3.530623	a5 01 01 21 8b 00 00 42 1a df 0c
3.536661	0c 00 02 00 00 0a 28 00 03 00 00 08 f2 00 05 04 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 03 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01 00 22 00
3.728781	a5
3.734700	01 01 21 8c 00 00 5d e7 d5 0c 0c 00 25 00 00 27 00 00 2d 00 00 35 00 00 5c 00 00 06 40 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 07 d0 00 64
3.740500	00 00 03 48 00 65 00 00 00 18 00 13 00 00 72 00 00 00 37 00 73 00 00 74 06 00 95 00 00 00 00
3.930350	a5 01 01 21 8d 00 00 3f 92 96 0c 0c 00 15
3.930550	00 00 a4 00 00 bd 00 00 00
3.936526	00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
9.113546	a5 01 01 21 8e
9.119553	00 00 12 9a 16 0c 0c 00 60 00 00 07 6c
11.510081	a5 01 01 21 8f 00 00 12 8e 89 0c 0c 00 65 00 00 00 00
