seconds	hex
0.001083	a5 01 01 21 95 00 00 12 85 4d 0c 0c 00 03 00 00 08 e8 a5 01 01 21 96 00 00 12 f0 92 0c 0c 00 5c 00 00 05 dc
4.011543	a5 01 01 21 97 00 00 12 b5 9b 0c 0c 00 60 00 00 07 6c
8.395688	a5 01 01 23
8.402269	00 56 00 0c 12 c9 80 0a
8.594511	a5
8.601187	01 01 21 98 00 00 42 e3 56 0c 0c 00 02 00 00 09 2e 00 03 00 00 08 e8 00 05 07 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48 01 00 22 00
8.797652	a5 01 01 21 99 00 00 5d 7b 8f 0c 0c 00 25 00 00 27 00 00 2d 00 00 35 00 00 5c 00 00 06 40 00 39 12 02 03 07 08 09
8.803854	0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 07 6c 00 64 00 00 03 48 00 65 00 00 00 00 00 13 00 00 72 00 00 00 64 00 73 00 00 74 06 00 95 00 00 00 00
8.997778	a5 01 01 21 00 00 00 1e 69 fe 0d 0d 00 3d 00 00 00 00 00 41 6a 74 08 1d 00 42 6a 74 08 95
9.193016	a5
9.193177	01
9.193323	01 21 9a 00 00 3f
9.200199	12 37 0c 0c 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25
9.200501	00
19.984054	a5 01 01 21 9b 00 00 12 c5 b0 0c 0c 00 60 00 00 07 d0
