seconds	hex
2.567340	a5 01 01 23 00 4f 00 0c be ef 80 0a
2.767559	a5 01 01 21 00 00 00 1e 97 a0 0d 0d 00 3d 00 00 00 00 00 41 6a 74 06 b5 00 42 6a 74 07 2d
2.963207	a5 01 01 21 6d 00 00 42 4c 6c 0c 0c
2.968849	00 01 01 00 02 00 00 09 2e 00 03 00 00 08 e8 00 05 04 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48 01
3.163626	a5 01 01 21 6e 00 00 5a d6 82 0c 0c 00 22 00 00 25 00
3.163818	00 27 00 00 2d 00 00 35 00 00 38
3.169828	00 00 5c 00 00 05 dc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 07 d0 00 64 00 00 03 48 00 65 00 00 00 00 00 13 00 00 72 00
3.169977	00 00 37 00 73 00
3.364247	a5 01 01 21 6f 00 00 48 27 26 0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00
3.370288	00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
14.748807	a5 01 01 21 70 00 00 12 20 42 0c 0c 00 65 00 00 00 18
