seconds	hex
0.000404	a5 01 00 21 00 00 00 0c d3 7d 0c 0c
3.753029	a5 01 01 23 00 a3 00 0c 0e c8 80 0a
3.953531	a5 01 01 21 ab 00 00 42 0b b0 0c 0c 00 01 01 00 02 00 00 09 60 00 03 00 00 09 10 00 05 01 00 0c 00 00 0d 00 00 0e 09 00 11 0d 00 12 01 00 df 00 00 c9 00 00
3.959489	17 00 00 1e 00 02 27 00 00 00 4b 01 48 01
4.148527	a5 01 01 21
4.154899	ac 00 00 5a 96 32 0c 0c 00 22 00 00 25 00 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 08 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 08 34 00 64 00
4.155029	00 00 00 00 65 00 00 00 00 00 13
4.160537	00 00 72 00 00 00 01 00 73 00
4.348001	a5
4.348263	01 01 21 ad 00 00 48 b0 ae
4.356280	0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
